"family","species","trait","trait_value","imputation_error","error_risk_overall","error_risk_family","error_risk_genus","source"
"Acanthaceae","Crabbea velutina","LDMC",0.327807500383933,0.368632181041999,0.820052363313493,0.320060584575036,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","SLA",16.3905587721095,31.4127844872412,-0.189427904046337,-0.0623142936420873,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","SRL",5158.00402799696,2907.32152286275,-0.281733658776785,0.559598148188345,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","leaf_N",17.5442982283408,32.278456749609,-0.677614493965021,-0.395959416167038,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","leaf_area",676.729740413612,1195.30031440028,0.504435291050231,-0.330824254178659,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","leaf_dry_mass",35.5883689189064,81.2287212781644,0.426015547711086,-0.567745641849695,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","plant_height_vegetative",0.312426209927305,0.837321473747426,0.00800076372836772,-0.67065273741,NA,"Imputed Value"
"Acanthaceae","Crabbea velutina","seed_dry_mass",2.05728712017874,1.2318819772009,0.549276967681335,-1.03157056674941,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","LDMC",0.347284419505468,0.280265256557063,0.96712101345666,1.88374088775496,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","SLA",14.5969738513319,20.3279120941237,-0.446316695557594,-1.93813467737057,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","SRL",6814.33320766834,5504.64014910879,-0.028443626106723,1.25846046146311,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","leaf_N",24.0203209848403,24.9641696629233,0.302851903821721,2.00400618609364,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","leaf_area",484.535188889032,620.833101963675,0.299746947258298,-1.80351561388286,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","leaf_dry_mass",27.7071681758708,40.4387578960577,0.289126755684006,-1.72456552894548,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","plant_height_vegetative",0.339019031648712,0.817349806041152,0.09336894880742,-0.0462734430107118,NA,"Imputed Value"
"Acanthaceae","Dyschoriste radicans","seed_dry_mass",3.19414908823207,2.38980963277623,0.812281690904834,0.38457681766273,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","LDMC",0.318172020641675,0.369923230177328,0.744032161389136,-0.48821019425622,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","SLA",16.5750895974266,31.4237372644374,-0.164611642862975,0.118895825732232,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","SRL",5010.41356562786,2451.88368970403,-0.30813900088057,0.486742148799294,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","leaf_N",18.3369489870619,32.1593777438614,-0.539709056145227,-0.0583973050336866,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","leaf_area",787.473002600437,1224.86445196513,0.597292664978785,0.337265827239999,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","leaf_dry_mass",42.5806754901305,84.0819612142022,0.52410831582052,0.261216782676779,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","plant_height_vegetative",0.408282524948768,0.677267564877454,0.287647516079161,1.37467177958838,NA,"Imputed Value"
"Acanthaceae","Lepidagathis anobrya","seed_dry_mass",3.4897474382513,1.23167211337896,0.865194781165345,0.669487040776516,NA,"Imputed Value"
"Acanthaceae","Ruellia humilis","LDMC",0.318950244049689,0.307493889138628,0.75025694040349,-0.422026379235692,0.588508259040151,"Imputed Value"
"Acanthaceae","Ruellia humilis","SLA",17.2568010465347,24.332887051947,-0.0752692416955949,0.771280448101694,0.954991528058589,"Imputed Value"
"Acanthaceae","Ruellia humilis","SRL",2165.61750261335,16722.4501778675,-1.07108094617563,-1.6183204435286,-1.14855996829646,"Imputed Value"
